entry	type	strength	pos	r1	max_token_score	source_id	source_rows
coup de tête	idiom	semi-idiom	locution nominale	True	0.988527	ls:fr:node:46204	3
coup de tête	idiom	strong idiom	locution nominale	True	0.994645	ls:fr:node:40344	3
coup de vieux	idiom	semi-idiom	locution nominale	True	0.999438	ls:fr:node:41033	3
coup double	idiom	strong idiom	locution nominale	False	0.0151747	ls:fr:node:40461	2
coup du lapin	idiom	strong idiom	locution nominale	False	0.2328	ls:fr:node:41074	3
coup du père François	idiom	strong idiom	locution nominale	True	0.96223	ls:fr:node:43146	8
coup dur	idiom	strong idiom	locution nominale	True	0.85557	ls:fr:node:41017	2
coup d’accélérateur	idiom	strong idiom	locution nominale	True	0.998594	ls:fr:node:41037	3
coup d’arrêt	idiom	strong idiom	locution nominale	True	0.999466	ls:fr:node:43254	3
coup d’assommoir	idiom	strong idiom	locution nominale	True	0.517839	ls:fr:node:41156	3
coup d’avance	idiom	strong idiom	locution nominale	False	0.338891	ls:fr:node:41207	3
coup d’éclat	idiom	strong idiom	locution nominale	True	0.987908	ls:fr:node:41190	3
coup d’épée dans l’eau	idiom	strong idiom	locution nominale	True	0.996646	ls:fr:node:41133	6
coup d’État	idiom	strong idiom	locution nominale	True	0.999234	ls:fr:node:40358	9
coup d’œil	idiom	strong idiom	locution nominale	True	0.990078	ls:fr:node:53722	9
coup monté	idiom	semi-idiom	locution nominale	True	0.996252	ls:fr:node:41061	2
coup par coup	idiom	strong idiom	locution nominale	True	0.99971	ls:fr:node:40648	6
coup pour coup	idiom	strong idiom	locution nominale	True	0.999864	ls:fr:node:41016	3
coup sur coup	idiom	strong idiom	locution nominale	True	0.999918	ls:fr:node:40581	3
coupage de cheveux en quatre	idiom	strong idiom	locution nominale	True	0.622549	ls:fr:node:44933	5
couper bras et jambes	verbal_phrase	strong idiom	locution verbale	True	0.993884	ls:fr:node:41521	4
couper les cheveux en quatre	verbal_phrase	strong idiom	locution verbale	True	0.996312	ls:fr:node:44932	5
couper les jambes	verbal_phrase	strong idiom	locution verbale	True	0.996845	ls:fr:node:41394	7
couper l’herbe sous le pied	verbal_phrase	strong idiom	locution verbale	True	0.999341	ls:fr:node:54417	44
coupeur de cheveux en quatre	idiom	strong idiom	locution nominale	True	0.920927	ls:fr:node:44934	5
coupeuse de cheveux en quatre	idiom	strong idiom	locution nominale	True	0.94955	ls:fr:node:44935	5
coups et blessures	idiom	weak idiom	locution nominale	True	0.999421	ls:fr:node:40964	3
cour administrative d’appel	idiom	weak idiom	locution nominale	True	0.994683	ls:fr:node:51972	4
cour d’appel	idiom	weak idiom	locution nominale	True	0.703324	ls:fr:node:51961	3
courant d’air	idiom	semi-idiom	locution nominale	True	0.602244	ls:fr:node:45933	3
coureur des bois	idiom	strong idiom	locution nominale	True	0.943657	ls:fr:node:45220	3
courir deux lièvres à la fois	verbal_phrase	strong idiom	locution verbale	True	0.999841	ls:fr:node:44765	6
courir la gueuse	verbal_phrase	strong idiom	locution verbale	True	0.366539	ls:fr:node:45009	3
courir la poste	verbal_phrase	strong idiom	locution verbale	False	0.00947745	ls:fr:node:45032	3
courir le guilledou	verbal_phrase	strong idiom	locution verbale	True	0.684281	ls:fr:node:44970	6
courir les filles	verbal_phrase	semi-idiom	locution verbale	False	0.43813	ls:fr:node:45083	3
courir les rues	verbal_phrase	strong idiom	locution verbale	True	0.997369	ls:fr:node:44768	3
courir sur le haricot	verbal_phrase	strong idiom	locution verbale	True	0.987659	ls:fr:node:45452	8
courir toujours	verbal_phrase	strong idiom	locution verbale	True	0.721489	ls:fr:node:44804	4
courir à sa perte	verbal_phrase	weak idiom	locution verbale	True	0.993635	ls:fr:node:44779	4
courrier électronique	idiom	strong idiom	locution nominale	True	0.908599	ls:fr:node:47162	4
courrier électronique	idiom	weak idiom	locution nominale	True	0.907159	ls:fr:node:47466	2
cours d’eau	idiom	weak idiom	locution nominale	True	0.816865	ls:fr:node:38773	6
cours moyen	idiom	strong idiom	locution nominale	False	0.0398962	ls:fr:node:43143	2
course contre la montre	idiom	semi-idiom	locution nominale	True	0.997174	ls:fr:node:49676	4
course contre la montre	idiom	strong idiom	locution nominale	True	0.999595	ls:fr:node:49677	4
course d’obstacles	idiom	strong idiom	locution nominale	False	0.057233	ls:fr:node:49680	3
course d’obstacles	idiom	weak idiom	locution nominale	False	0.243227	ls:fr:node:49679	3
course d’orientation	idiom	weak idiom	locution nominale	True	0.993591	ls:fr:node:45145	6
course poursuite	idiom	weak idiom	locution nominale	True	0.973586	ls:fr:node:45103	2
course à l’armement	idiom	semi-idiom	locution nominale	True	0.997297	ls:fr:node:45150	4
course à pied	idiom	weak idiom	locution nominale	True	0.999539	ls:fr:node:39803	4
court métrage	idiom	strong idiom	locution nominale	True	0.78221	ls:fr:node:48905	2
court sur pattes	fixed_expression	strong idiom	locution adjectivale	True	0.998255	ls:fr:node:42699	9
couru d’avance	fixed_expression	strong idiom	locution adjectivale	False	0.376378	ls:fr:node:45182	4
cousu main	fixed_expression	strong idiom	locution adjectivale	True	0.626831	ls:fr:node:49086	2
cousu main	fixed_expression	weak idiom	locution adjectivale	True	0.377835	ls:fr:node:44183	2
couverture nuageuse	idiom	weak idiom	locution nominale	True	0.98414	ls:fr:node:47798	2
coût de revient	idiom	weak idiom	locution nominale	True	0.999603	ls:fr:node:52002	3
coût de sortie	idiom	weak idiom	locution nominale	True	0.983215	ls:fr:node:52201	3
coût d’acquisition	idiom	weak idiom	locution nominale	False	0.0618906	ls:fr:node:52198	3
coût d’entrée	idiom	weak idiom	locution nominale	True	0.751641	ls:fr:node:52200	3
coût moyen unitaire pondéré	idiom	weak idiom	locution nominale	True	0.468242	ls:fr:node:52001	3
coûts d’emprunt	idiom	weak idiom	locution nominale	False	0.0188113	ls:fr:node:52199	3
cracher dans la soupe	verbal_phrase	strong idiom	locution verbale	True	0.998813	ls:fr:node:54359	12
cracher le morceau	verbal_phrase	strong idiom	locution verbale	True	0.967453	ls:fr:node:55610	3
cravate de chanvre	idiom	strong idiom	locution nominale	True	0.626593	ls:fr:node:38995	3
cravate de notaire	idiom	strong idiom	locution nominale	True	0.939996	ls:fr:node:38986	3
crier dans le désert	verbal_phrase	strong idiom	locution verbale	True	0.952485	ls:fr:node:43635	4
crime contre l’humanité	idiom	strong idiom	locution nominale	True	0.998606	ls:fr:node:39546	4
crime de guerre	idiom	weak idiom	locution nominale	True	0.999806	ls:fr:node:39559	6
crime organisé	idiom	semi-idiom	locution nominale	True	0.918821	ls:fr:node:39501	2
criminel de guerre	idiom	weak idiom	locution nominale	True	0.999912	ls:fr:node:39482	3
crim’	fixed_expression	free lexeme	nom	True	0.567493	ls:fr:node:39382	2
crise cardiaque	idiom	semi-idiom	locution nominale	True	0.991956	ls:fr:node:52548	2
crise de nerfs	idiom	strong idiom	locution nominale	True	0.998799	ls:fr:node:33000	3
crise économique	idiom	weak idiom	locution nominale	True	0.948259	ls:fr:node:55136	6
croiser la route	verbal_phrase	strong idiom	locution verbale	True	0.840376	ls:fr:node:40671	2
cube de glace	idiom	weak idiom	locution nominale	True	0.998633	ls:fr:node:54196	6
cuillère à pot	idiom	weak idiom	locution nominale	True	0.83446	ls:fr:node:49243	3
cuisine roulante	idiom	semi-idiom	locution nominale	False	0.000112184	ls:fr:node:50852	2
culotte de cheval	idiom	strong idiom	locution nominale	True	0.998647	ls:fr:node:47347	3
cuver son vin	verbal_phrase	weak idiom	locution verbale	True	0.540575	ls:fr:node:41830	3
côte à côte	idiom	strong idiom	locution nominale	True	0.999427	ls:fr:node:32868	12
cœur de bœuf	idiom	strong idiom	locution nominale	False	4.13981e-06	ls:fr:node:46858	3
C’est parti !	idiom	strong idiom	locution phrastique	True	0.886621	ls:fr:node:53946	6
C’est toujours ça de pris sur l’ennemi.	idiom	strong idiom	locution phrastique	True	0.900888	ls:fr:node:39230	9
dans de beaux draps	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.965075	ls:fr:node:41926	4
dans la figure	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998623	ls:fr:node:45697	6
dans la foulée	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.99899	ls:fr:node:50370	3
dans la foulée	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998731	ls:fr:node:47196	15
dans la lune	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.992838	ls:fr:node:55079	6
dans la semoule	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.987741	ls:fr:node:48625	15
dans le coup	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999022	ls:fr:node:40661	6
dans le creux de l’oreille	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999279	ls:fr:node:40527	6
dans le fond	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.996641	ls:fr:node:44907	3
dans le lac	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.718388	ls:fr:node:43110	3
dans le mille	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999403	ls:fr:node:42252	9
dans le rouge	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998278	ls:fr:node:45680	3
dans le sang	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.401343	ls:fr:node:39841	3
dans le sens	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998529	ls:fr:node:54609	9
dans le temps	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999383	ls:fr:node:47340	6
dans le temps	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.48488	ls:fr:node:47342	3
dans le tuyau de l’oreille	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.900873	ls:fr:node:40553	6
dans le vent	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99833	ls:fr:node:46680	3
dans le vide	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998761	ls:fr:node:49976	18
dans les baskets	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.900308	ls:fr:node:54331	3
dans les chaussettes	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999253	ls:fr:node:39237	6
dans les choux	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.981041	ls:fr:node:49021	3
dans les formes	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.175362	ls:fr:node:41353	6
dans les jambes	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999238	ls:fr:node:41399	15
dans les jupes	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998784	ls:fr:node:39854	3
dans les nuages	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99802	ls:fr:node:46599	6
dans les règles de l’art	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999915	ls:fr:node:55194	18
dans l’ensemble	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.9982	ls:fr:node:44908	3
dans ses meubles	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.870079	ls:fr:node:39978	6
dans son assiette	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998757	ls:fr:node:43061	6
dans tous ses états	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99879	ls:fr:node:53777	4
dans un mouchoir de poche	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999919	ls:fr:node:50371	8
dans un éclair	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.610232	ls:fr:node:44564	3
danse de couple	idiom	weak idiom	locution nominale	True	0.822203	ls:fr:node:46075	3
danser sur un volcan	verbal_phrase	strong idiom	locution verbale	True	0.937134	ls:fr:node:44680	8
de bain	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.98944	ls:fr:node:49920	2
de bon appétit	prepositional_phrase	semi-idiom	locution prépositionnelle	False	0.17227	ls:fr:node:44874	3
de bon cœur	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.944808	ls:fr:node:44880	3
de bon poil	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.985696	ls:fr:node:55627	3
de bonne famille	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998908	ls:fr:node:39488	3
de bouche à oreille	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998508	ls:fr:node:40555	4
de bâton de chaise	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.57164	ls:fr:node:40128	8
de carême	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.891867	ls:fr:node:46316	4
de casserole	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.996796	ls:fr:node:43328	4
de chat	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.253893	ls:fr:node:43872	2
de cheval	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.953269	ls:fr:node:47303	2
de chien	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.989	ls:fr:node:41854	2
de compagnie	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999544	ls:fr:node:45863	2
de concert	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.995107	ls:fr:node:45570	10
de couleur	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998903	ls:fr:node:43722	2
de côté	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997521	ls:fr:node:42317	2
de fait	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.538167	ls:fr:node:52351	4
de fer	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998446	ls:fr:node:43373	2
de fil en aiguille	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998811	ls:fr:node:47219	4
de fond en comble	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999977	ls:fr:node:41668	4
de Gascon	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.194642	ls:fr:node:35345	2
de gorge	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.721098	ls:fr:node:43227	2
de grand chemin	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.980766	ls:fr:node:39783	6
de grand chemin	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997216	ls:fr:node:39784	3
de grand-mère	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99867	ls:fr:node:40925	6
de justesse	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999825	ls:fr:node:54301	2
de la nuque aux orteils	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99907	ls:fr:node:44232	5
de la tarte	idiom	strong idiom	locution nominale	True	0.995697	ls:fr:node:56241	6
de la tête aux pieds	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999804	ls:fr:node:40130	5
de large	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.99975	ls:fr:node:47922	2
de loin	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.972602	ls:fr:node:46308	2
de long	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.999712	ls:fr:node:46905	2
de long en large	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998589	ls:fr:node:46973	4
de longue date	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999584	ls:fr:node:38437	3
de longue haleine	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999565	ls:fr:node:46979	3
de loup	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99944	ls:fr:node:52983	2
de l’angle	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0347181	ls:fr:node:35067	3
de malade	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.975503	ls:fr:node:42224	2
de mauvais poil	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.982198	ls:fr:node:55626	3
de mes fesses	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.021952	ls:fr:node:41229	3
de mille feux	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999858	ls:fr:node:42251	9
de ministre	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.953478	ls:fr:node:46914	2
de nos jours	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99926	ls:fr:node:43008	3
de pièces et de morceaux	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999227	ls:fr:node:47070	15
de plain-pied	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998257	ls:fr:node:48039	12
de plomb	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.994903	ls:fr:node:47695	2
de poche	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.949164	ls:fr:node:39048	2
de politesse	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.901281	ls:fr:node:51227	2
de pure forme	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.121754	ls:fr:node:41352	6
de rechange	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.999888	ls:fr:node:54296	6
De rien.	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.711552	ls:fr:node:53580	2
de rêve	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998345	ls:fr:node:39039	2
de table	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.995192	ls:fr:node:43375	12
de temps en temps	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999957	ls:fr:node:54268	8
de terrain	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999471	ls:fr:node:55139	2
de terrain	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.997421	ls:fr:node:55138	4
de tortue	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.966446	ls:fr:node:55654	2
de toute façon	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999193	ls:fr:node:48859	6
de toute manière	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999383	ls:fr:node:48861	3
de toutes pièces	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999957	ls:fr:node:46985	3
de travers	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.771695	ls:fr:node:47040	4
de vingt ans	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.519021	ls:fr:node:41073	3
Demain est un autre jour.	idiom	strong idiom	locution phrastique	True	0.998569	ls:fr:node:55215	5
dent dure	idiom	strong idiom	locution nominale	True	0.813955	ls:fr:node:44023	8
dents longues	idiom	strong idiom	locution nominale	True	0.928174	ls:fr:node:44024	4
dernier carré	idiom	semi-idiom	locution nominale	True	0.774503	ls:fr:node:40290	4
dernières volontés	idiom	semi-idiom	locution nominale	True	0.988524	ls:fr:node:53253	2
des vertes et des pas mûres	idiom	strong idiom	locution nominale	True	0.998449	ls:fr:node:52780	12
descente de lit	idiom	semi-idiom	locution nominale	True	0.928578	ls:fr:node:45435	3
dessous-de-table	idiom	strong idiom	locution nominale	True	0.999481	ls:fr:node:43410	3
deux cents familles	idiom	strong idiom	locution nominale	True	0.993388	ls:fr:node:39486	6
deux poids et deux mesures	idiom	strong idiom	locution nominale	True	0.996951	ls:fr:node:54100	9
deuxième articulation	idiom	strong idiom	locution nominale	False	3.70212e-06	ls:fr:node:54949	4
devoir conjugal	idiom	semi-idiom	locution nominale	True	0.866439	ls:fr:node:52921	2
diable vauvert	idiom	strong idiom	locution nominale	True	0.976646	ls:fr:node:53044	6
dictionnaire analogique	idiom	weak idiom	locution nominale	False	0.00713402	ls:fr:node:54126	2
Dis donc	idiom	strong idiom	locution phrastique	True	0.956123	ls:fr:node:48324	10
discuter le coup	verbal_phrase	strong idiom	locution verbale	False	0.0226021	ls:fr:node:40949	3
disque compact	idiom	weak idiom	locution nominale	False	0.115212	ls:fr:node:45484	2
dix de der	fixed_expression	weak idiom	locution numérale	False	0.167658	ls:fr:node:39167	3
doigt de pied	idiom	semi-idiom	locution nominale	True	0.928594	ls:fr:node:33771	10
doigt d’honneur	idiom	semi-idiom	locution nominale	True	0.966899	ls:fr:node:54052	3
domicile conjugal	idiom	weak idiom	locution nominale	True	0.961464	ls:fr:node:52920	2
donner corps	verbal_phrase	strong idiom	locution verbale	True	0.973307	ls:fr:node:39778	2
donner la pièce	verbal_phrase	weak idiom	locution verbale	True	0.353898	ls:fr:node:47065	6
donner le sein	verbal_phrase	weak idiom	locution verbale	True	0.441397	ls:fr:node:38868	3
donner lieu	verbal_phrase	strong idiom	locution verbale	True	0.996106	ls:fr:node:53676	3
donner sa langue au chat	verbal_phrase	strong idiom	locution verbale	True	0.973654	ls:fr:node:43445	5
donneur de leçons	idiom	weak idiom	locution nominale	True	0.997137	ls:fr:node:51547	3
donneuse de leçons	idiom	weak idiom	locution nominale	True	0.995635	ls:fr:node:51548	3
dormir debout	verbal_phrase	strong idiom	locution verbale	False	0.217221	ls:fr:node:44363	2
dormir sur la béquille	verbal_phrase	strong idiom	locution verbale	True	0.654279	ls:fr:node:48234	4
dormir sur ses deux oreilles	verbal_phrase	strong idiom	locution verbale	True	0.997752	ls:fr:node:40533	5
dormir sur ses lauriers	verbal_phrase	strong idiom	locution verbale	True	0.999799	ls:fr:node:48227	4
dos brassé	idiom	semi-idiom	locution nominale	True	0.451251	ls:fr:node:48504	2
dos crawlé	idiom	semi-idiom	locution nominale	True	0.60416	ls:fr:node:48506	2
dos d’âne	idiom	strong idiom	locution nominale	True	0.823027	ls:fr:node:51581	6
douche dorée	idiom	strong idiom	locution nominale	True	0.257444	ls:fr:node:42078	2
douche froide	idiom	strong idiom	locution nominale	True	0.988655	ls:fr:node:41384	2
douche écossaise	idiom	semi-idiom	locution nominale	False	0.00412947	ls:fr:node:53972	2
douche écossaise	idiom	strong idiom	locution nominale	False	0.00176285	ls:fr:node:41383	4
droit commun	idiom	weak idiom	locution nominale	True	0.999457	ls:fr:node:52251	4
droits de mutation	idiom	weak idiom	locution nominale	True	0.997442	ls:fr:node:52252	3
Du balai !	idiom	strong idiom	locution nominale	True	0.877836	ls:fr:node:43102	2
du bois dont on fait les flûtes	idiom	strong idiom	locution nominale	True	0.816046	ls:fr:node:47758	14
du bon pied	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.996715	ls:fr:node:54218	10
du bout des dents	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999276	ls:fr:node:44030	8
du bout des fesses	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998003	ls:fr:node:41230	4
du coup	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.990694	ls:fr:node:40584	2
du feu de Dieu	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999355	ls:fr:node:39688	4
du fond du cœur	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999209	ls:fr:node:42022	3
du gâteau	idiom	strong idiom	locution nominale	False	0.147153	ls:fr:node:56240	2
du juste	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.994078	ls:fr:node:47721	4
du même coup	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999423	ls:fr:node:40987	3
du même tabac	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.870101	ls:fr:node:40033	3
du siècle	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99361	ls:fr:node:39550	2
du tonnerre de Dieu	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998797	ls:fr:node:39687	8
du tout	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997805	ls:fr:node:46491	2
Du vent !	idiom	strong idiom	locution nominale	True	0.999123	ls:fr:node:46802	10
dé à coudre	idiom	semi-idiom	locution nominale	True	0.989141	ls:fr:node:30457	3
dé à coudre	idiom	strong idiom	locution nominale	True	0.981517	ls:fr:node:30459	7
débit de tabac	idiom	weak idiom	locution nominale	True	0.994604	ls:fr:node:40029	3
décalage horaire	idiom	weak idiom	locution nominale	True	0.998685	ls:fr:node:37247	2
déformation professionnelle	idiom	semi-idiom	locution nominale	False	0.0341359	ls:fr:node:53439	2
délit de sale gueule	idiom	strong idiom	locution nominale	True	0.994895	ls:fr:node:42786	8
démon de midi	idiom	strong idiom	locution nominale	False	0.304267	ls:fr:node:52543	3
désert de cartes	idiom	semi-idiom	locution nominale	True	0.969791	ls:fr:node:43681	3
désespoir des peintres	idiom	strong idiom	locution nominale	True	0.953791	ls:fr:node:56125	3
développé couché	idiom	weak idiom	locution nominale	True	0.13817	ls:fr:node:47383	2
d’accord	fixed_expression	free lexeme	adjectif	True	0.709711	ls:fr:node:30432	1
d’acier	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.00193525	ls:fr:node:41525	4
d’actualité	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.000606009	ls:fr:node:54332	2
d’ailleurs	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0010609	ls:fr:node:48194	2
d’amour	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.317527	ls:fr:node:53137	6
d’amour	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.333916	ls:fr:node:53136	6
d’ange	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0024166	ls:fr:node:38901	4
d’avance	prepositional_phrase	semi-idiom	locution prépositionnelle	False	0.0128035	ls:fr:node:47519	2
d’enfer	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.159399	ls:fr:node:42691	4
d’où vient le vent	prepositional_phrase	strong idiom	locution propositionnelle	True	0.881931	ls:fr:node:46681	5
d’un bon pas	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.549956	ls:fr:node:39530	4
d’un cheveu	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.015633	ls:fr:node:45045	3
d’élite	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0390765	ls:fr:node:39742	6
d’éléphant	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0060036	ls:fr:node:47385	2
eau de mer	idiom	weak idiom	locution nominale	True	0.999736	ls:fr:node:55803	23
eau de pluie	idiom	weak idiom	locution nominale	True	0.999684	ls:fr:node:55802	9
eau de toilette	idiom	strong idiom	locution nominale	True	0.997037	ls:fr:node:39956	3
eau douce	idiom	semi-idiom	locution nominale	True	0.995306	ls:fr:node:55801	18
emploi du temps	idiom	semi-idiom	locution nominale	True	0.999709	ls:fr:node:52776	3
en accordéon	prepositional_phrase	weak idiom	locution prépositionnelle	False	1.03075e-06	ls:fr:node:44050	2
en activité	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.999118	ls:fr:node:50549	2
en amont	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99985	ls:fr:node:49230	10
en apparence	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.944481	ls:fr:node:31593	2
en arrière	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.998311	ls:fr:node:44056	2
en arrière	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999221	ls:fr:node:49838	2
en attendant	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.995431	ls:fr:node:44057	2
en aucun cas	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997849	ls:fr:node:44058	3
en aucune façon	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.991278	ls:fr:node:44060	3
en aucune manière	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998872	ls:fr:node:44061	3
en aval	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999436	ls:fr:node:44054	8
en avalanche	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.570177	ls:fr:node:55096	2
en avant	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.995213	ls:fr:node:35227	2
en avant	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.885775	ls:fr:node:49137	2
en avoir dans le pantalon	verbal_phrase	strong idiom	locution verbale	True	0.993066	ls:fr:node:39620	5
en avoir ras la casquette	verbal_phrase	strong idiom	locution verbale	True	0.998551	ls:fr:node:42326	5
en avoir ras le bol	verbal_phrase	strong idiom	locution verbale	True	0.999955	ls:fr:node:49737	5
en avoir sous la casquette	verbal_phrase	strong idiom	locution verbale	True	0.991433	ls:fr:node:42327	5
en bas	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.762278	ls:fr:node:50427	4
en bas âge	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.999683	ls:fr:node:44062	3
